bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount
0_low_blowup,regex,regex_51,1.64,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0029801,0.350533,21,0,0,24,0,0,0,0
0_low_blowup,regex,regex_51,1.64,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0108938,0.383662,21,0,0,24,0,0,0,0
0_low_blowup,regex,regex_51,1.64,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0004471,0.324175,11,0,0,343,0,0,0,0
0_low_blowup,regex,regex_58,1.64,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.007536,0.327397,33,0,0,36,0,0,0,0
0_low_blowup,regex,regex_58,1.64,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0312451,0.348719,33,0,0,36,0,0,0,0
0_low_blowup,regex,regex_58,1.64,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0015497,0.374219,30,2,0,638,2,46,3,0
0_low_blowup,regex,regex_62,1.64,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0060122,0.323152,28,0,0,31,0,0,0,0
0_low_blowup,regex,regex_62,1.64,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0214464,0.315764,28,0,0,31,0,0,0,0
0_low_blowup,regex,regex_62,1.64,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0005581,0.337048,14,0,0,359,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_0,1.6896551724137931,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0143151,0.283882,11,0,0,27,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_0,1.6896551724137931,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0327732,0.317715,11,0,0,27,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_0,1.6896551724137931,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0003968,0.28972,11,0,0,679,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_1,1.6896551724137931,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0335613,0.34433,18,0,0,41,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_1,1.6896551724137931,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0705783,0.319249,18,0,0,41,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_1,1.6896551724137931,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.000665,0.292063,18,0,0,1127,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_19,1.8314606741573034,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0198118,0.303902,11,1,0,46,1,7,7,0
0_low_blowup,shift_scheduling,shift_scheduling_19,1.8314606741573034,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0434108,0.348169,11,1,0,46,1,7,7,0
0_low_blowup,shift_scheduling,shift_scheduling_19,1.8314606741573034,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0012992,0.347861,11,1,0,1060,1,499,7,0
0_low_blowup,shift_scheduling,shift_scheduling_25,1.8314606741573034,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0305395,0.302644,12,1,0,47,1,7,7,0
0_low_blowup,shift_scheduling,shift_scheduling_25,1.8314606741573034,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0381179,0.333556,12,1,0,47,1,7,7,0
0_low_blowup,shift_scheduling,shift_scheduling_25,1.8314606741573034,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0013289,0.380408,12,1,0,1092,1,499,7,0
0_low_blowup,shift_scheduling,shift_scheduling_3,1.6896551724137931,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0406906,0.352937,18,0,0,42,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_3,1.6896551724137931,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0689356,0.337688,18,0,0,42,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_3,1.6896551724137931,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0006682,0.366483,18,0,0,1148,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_30,1.5411764705882354,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0490323,0.283995,17,0,0,58,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_30,1.5411764705882354,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0759224,0.339554,17,0,0,58,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_30,1.5411764705882354,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0014253,0.333368,17,0,0,1641,0,0,0,0
0_low_blowup,shift_scheduling,shift_scheduling_7,1.2222222222222223,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0148254,0.300862,12,1,0,31,1,8,8,0
0_low_blowup,shift_scheduling,shift_scheduling_7,1.2222222222222223,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0206149,0.309607,12,1,0,31,1,8,8,0
0_low_blowup,shift_scheduling,shift_scheduling_7,1.2222222222222223,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0007538,0.363688,12,1,0,689,1,3,2,0
