bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount
0_low_blowup,shift_scheduling,shift_scheduling_7,1.2222222222222223,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0289174,0.352352,12,1,0,31,1,8,8,0
0_low_blowup,shift_scheduling,shift_scheduling_7,1.2222222222222223,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0006754,0.346355,12,1,0,689,1,3,2,0
1_medium_blowup,regex,regex_12,9.892857142857142,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0032785,0.40155,19,0,0,22,0,0,0,0
1_medium_blowup,regex,regex_12,9.892857142857142,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0247826,0.419863,19,0,0,22,0,0,0,0
1_medium_blowup,regex,regex_12,9.892857142857142,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.007089,0.319869,74,3,0,1294,3,13.66666666666667,5,0
1_medium_blowup,regex,regex_13,8.545454545454545,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0022368,0.419865,15,0,0,18,0,0,0,0
1_medium_blowup,regex,regex_13,8.545454545454545,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0231823,0.386182,15,0,0,18,0,0,0,0
1_medium_blowup,regex,regex_13,8.545454545454545,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0019903,0.427887,9,0,0,435,0,0,0,0
1_medium_blowup,regex,regex_24,9.470588235294118,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0248039,0.438981,46,0,0,49,0,0,0,0
1_medium_blowup,regex,regex_24,9.470588235294118,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.7455136,0.446279,46,0,0,49,0,0,0,0
1_medium_blowup,regex,regex_24,9.470588235294118,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0283815,0.436833,702,2,0,4137,2,106.5,3,0
1_medium_blowup,regex,regex_43,5.375,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0025083,0.430772,14,0,0,17,0,0,0,0
1_medium_blowup,regex,regex_43,5.375,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0078032,0.379309,14,0,0,17,0,0,0,0
1_medium_blowup,regex,regex_43,5.375,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0008441,0.409323,26,3,0,526,3,3,2.666666666666667,0
1_medium_blowup,regex,regex_46,2.2916666666666665,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0071643,0.430236,25,0,0,28,0,0,0,0
1_medium_blowup,regex,regex_46,2.2916666666666665,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0208838,0.402672,25,0,0,28,0,0,0,0
1_medium_blowup,regex,regex_46,2.2916666666666665,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0071654,0.374534,127,17,0,981,17,104.6470588235294,16.52941176470588,0
1_medium_blowup,regex,regex_5,6.925,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0175836,0.413029,38,0,0,41,0,0,0,0
1_medium_blowup,regex,regex_5,6.925,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2512016,0.409973,38,0,0,41,0,0,0,0
1_medium_blowup,regex,regex_5,6.925,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0033613,0.379175,29,1,0,872,1,4,4,0
