bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,layered_multigraph_sync_ms,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_10,1.0403225806451613,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,233.2043043,14.3526,10623,9779,0,671671,9779,33.818590857960935,8.383065753144493,0,96117.2894,40.098299999726805,2231,126.08559999898716,1612,10.2375999990727,2231,148.30769999957738,1677
0_low_blowup,nonogram,nonogram_10,1.0403225806451613,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,234.8771455,0.327802,10631,9737,0,670707,9737,33.77847386258601,8.36849132176235,0,96005.7428,40.098299999726805,2231,126.08559999898716,1612,10.2375999990727,2231,148.30769999957738,1677
0_low_blowup,nonogram,nonogram_10,1.0403225806451613,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,32.0962888,0.581805,9383,8313,0,11860000,8313,70.77878022374594,8.860339227715626,0,,40.098299999726805,2231,126.08559999898716,1612,10.2375999990727,2231,148.30769999957738,1677
0_low_blowup,nonogram,nonogram_13,1.04704875962361,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.5740434,0.283152,80,69,0,4293,69,10.159420289855072,4.753623188405797,0,232.798,30.085500000723187,1627,87.81839999892327,1169,7.836799999722643,1627,95.60469999996712,1224
0_low_blowup,nonogram,nonogram_13,1.04704875962361,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.6147472,0.287208,80,69,0,4282,69,10.159420289855072,4.753623188405797,0,245.1815,30.085500000723187,1627,87.81839999892327,1169,7.836799999722643,1627,95.60469999996712,1224
0_low_blowup,nonogram,nonogram_13,1.04704875962361,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.1030557,0.449098,202,117,0,147877,117,26.521367521367523,4.7094017094017095,0,,30.085500000723187,1627,87.81839999892327,1169,7.836799999722643,1627,95.60469999996712,1224
0_low_blowup,nonogram,nonogram_14,1.0431344356578,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2485362,0.299721,22,10,0,1518,10,7.3,4.2,0,128.8838,35.53929999998218,1930,94.02570000202104,1391,8.927999999514213,1930,123.59760000072129,1451
0_low_blowup,nonogram,nonogram_14,1.0431344356578,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.2506364,0.299089,22,10,0,1516,10,7.3,4.2,0,128.3873,35.53929999998218,1930,94.02570000202104,1391,8.927999999514213,1930,123.59760000072129,1451
0_low_blowup,nonogram,nonogram_14,1.0431344356578,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.2764076,0.487489,384,197,0,317116,197,63.55329949238579,7.766497461928934,0,,35.53929999998218,1930,94.02570000202104,1391,8.927999999514213,1930,123.59760000072129,1451
0_low_blowup,nonogram,nonogram_15,1.0515463917525774,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1379078,0.307606,21,13,0,1322,13,4.538461538461538,2.3846153846153846,0,85.826,24.707500000886284,1356,64.26219999957539,970,6.172499999365755,1356,60.94169999937549,1020
0_low_blowup,nonogram,nonogram_15,1.0515463917525774,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.130162,0.294587,21,13,0,1322,13,4.538461538461538,2.3846153846153846,0,86.301,24.707500000886284,1356,64.26219999957539,970,6.172499999365755,1356,60.94169999937549,1020
0_low_blowup,nonogram,nonogram_15,1.0515463917525774,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.2251378,0.412702,364,216,0,242197,216,38.59722222222222,4.296296296296297,0,,24.707500000886284,1356,64.26219999957539,970,6.172499999365755,1356,60.94169999937549,1020
0_low_blowup,nonogram,nonogram_17,1.0497737556561086,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.6469695,0.285693,258,225,0,18025,225,31.26222222222222,5.76,0,1196.4771,27.800200000001496,1533,61.711699998795666,1105,6.966199998942102,1533,85.81780000031358,1160
0_low_blowup,nonogram,nonogram_17,1.0497737556561086,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.70602,0.284306,258,225,0,18036,225,31.26222222222222,5.76,0,1202.2973,27.800200000001496,1533,61.711699998795666,1105,6.966199998942102,1533,85.81780000031358,1160
0_low_blowup,nonogram,nonogram_17,1.0497737556561086,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.9749371999999998,0.474889,1592,1230,0,1458549,1230,131.75853658536585,7.570731707317073,0,,27.800200000001496,1533,61.711699998795666,1105,6.966199998942102,1533,85.81780000031358,1160
0_low_blowup,nonogram,nonogram_21,1.0543478260869565,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,33.848326,0.287798,2074,1810,0,158311,1810,37.81049723756906,8.070718232044198,0,14872.1713,23.945299999695635,1284,48.262399998293404,920,6.2408999995113845,1284,67.65689999997448,970
0_low_blowup,nonogram,nonogram_21,1.0543478260869565,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,34.7933001,0.293853,2066,1799,0,157687,1799,37.75264035575319,8.055586436909394,0,15186.3238,23.945299999695635,1284,48.262399998293404,920,6.2408999995113845,1284,67.65689999997448,970
0_low_blowup,nonogram,nonogram_21,1.0543478260869565,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,7.4240681,0.389143,3867,3232,0,4385151,3232,65.13706683168317,8.913985148514852,0,,23.945299999695635,1284,48.262399998293404,920,6.2408999995113845,1284,67.65689999997448,970
0_low_blowup,nonogram,nonogram_29,1.0443131462333826,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.68387,0.293765,182,121,0,10731,121,29.140495867768596,6.454545454545454,0,783.8499,35.129299998970964,1890,91.87340000016775,1354,8.868800000527699,1890,122.77290000065477,1414
