bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_29,1.1101321585903083,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0006065,0.242614,1,0,0,189,0,0,0,0,6.504100019810721,327,5.847500025993213,227,1.5757999935885891,327,7.636100024683401,252
0_low_blowup,nonogram,nonogram_29,1.1101321585903083,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0009854,0.245688,10,3,0,6079,3,2.333333333333333,2,0,6.504100019810721,327,5.847500025993213,227,1.5757999935885891,327,7.636100024683401,252
0_low_blowup,nonogram,nonogram_30,1.0784753363228698,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0182111,0.242922,19,4,0,494,4,12.25,8,0,12.80330000736285,637,17.35250002820976,446,3.1495999865001068,637,21.176700000069104,481
0_low_blowup,nonogram,nonogram_30,1.0784753363228698,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0164247,0.249611,19,4,0,494,4,12.25,8,0,12.80330000736285,637,17.35250002820976,446,3.1495999865001068,637,21.176700000069104,481
0_low_blowup,nonogram,nonogram_30,1.0784753363228698,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0164799,0.288163,109,46,0,39129,46,8.58695652173913,4.043478260869565,0,12.80330000736285,637,17.35250002820976,446,3.1495999865001068,637,21.176700000069104,481
0_low_blowup,nonogram,nonogram_37,1.2,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0003055,0.243394,1,0,0,80,0,0,0,0,2.2246999869821593,113,1.1960999836446717,75,0.5398000357672572,113,1.9825000199489295,90
0_low_blowup,nonogram,nonogram_37,1.2,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0002802,0.233655,1,0,0,80,0,0,0,0,2.2246999869821593,113,1.1960999836446717,75,0.5398000357672572,113,1.9825000199489295,90
0_low_blowup,nonogram,nonogram_37,1.2,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0006271,0.228707,8,3,0,1936,3,2,2,0,2.2246999869821593,113,1.1960999836446717,75,0.5398000357672572,113,1.9825000199489295,90
0_low_blowup,nonogram,nonogram_39,1.066006600660066,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0642871,0.240293,24,12,0,860,12,7.25,4.166666666666667,0,17.352300055790693,860,27.621900037047453,606,4.119300021557137,860,32.43979997932911,646
0_low_blowup,nonogram,nonogram_39,1.066006600660066,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0670028,0.235481,24,12,0,858,12,7.25,4.166666666666667,0,17.352300055790693,860,27.621900037047453,606,4.119300021557137,860,32.43979997932911,646
0_low_blowup,nonogram,nonogram_39,1.066006600660066,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0490036,0.304061,134,78,0,76016,78,26.62820512820513,5.461538461538462,0,17.352300055790693,860,27.621900037047453,606,4.119300021557137,860,32.43979997932911,646
0_low_blowup,nonogram,nonogram_42,1.103305785123967,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0022794,0.255371,1,0,0,190,0,0,0,0,6.974900054046884,355,7.21550002344884,242,1.6326999757438898,355,9.12440002139192,267
0_low_blowup,nonogram,nonogram_42,1.103305785123967,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.001579,0.225669,1,0,0,190,0,0,0,0,6.974900054046884,355,7.21550002344884,242,1.6326999757438898,355,9.12440002139192,267
0_low_blowup,nonogram,nonogram_42,1.103305785123967,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0001166,0.244598,1,0,0,5608,0,0,0,0,6.974900054046884,355,7.21550002344884,242,1.6326999757438898,355,9.12440002139192,267
0_low_blowup,nonogram,nonogram_43,1.2173913043478262,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0010157,0.25174,1,1,0,88,1,1,1,0,2.4979999870993197,113,1.7315000586677343,69,0.7571999740321189,113,2.178400012780912,84
0_low_blowup,nonogram,nonogram_43,1.2173913043478262,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0009633,0.263788,1,1,0,88,1,1,1,0,2.4979999870993197,113,1.7315000586677343,69,0.7571999740321189,113,2.178400012780912,84
0_low_blowup,nonogram,nonogram_43,1.2173913043478262,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0007417,0.229093,2,2,0,1815,2,1.5,1.5,0,2.4979999870993197,113,1.7315000586677343,69,0.7571999740321189,113,2.178400012780912,84
0_low_blowup,nonogram,nonogram_44,1.0746268656716418,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0044543,0.265523,7,0,0,312,0,0,0,0,14.648400028818287,665,19.88460001302883,469,3.4807999472832307,665,24.60340000106953,504
0_low_blowup,nonogram,nonogram_44,1.0746268656716418,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0046398,0.241722,7,0,0,312,0,0,0,0,14.648400028818287,665,19.88460001302883,469,3.4807999472832307,665,24.60340000106953,504
0_low_blowup,nonogram,nonogram_44,1.0746268656716418,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0042971,0.280357,14,4,0,18203,4,5.5,4,0,14.648400028818287,665,19.88460001302883,469,3.4807999472832307,665,24.60340000106953,504
0_low_blowup,nonogram,nonogram_47,1.05859375,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0011021,0.234182,1,0,0,538,0,0,0,0,20.99240008101333,1073,37.82310003589373,768,5.430000033811666,1073,44.949499977519736,813
0_low_blowup,nonogram,nonogram_47,1.05859375,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0010943,0.24721,1,0,0,538,0,0,0,0,20.99240008101333,1073,37.82310003589373,768,5.430000033811666,1073,44.949499977519736,813
0_low_blowup,nonogram,nonogram_47,1.05859375,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.1994147,0.322153,363,241,0,275266,241,25.60995850622407,5.726141078838174,0,20.99240008101333,1073,37.82310003589373,768,5.430000033811666,1073,44.949499977519736,813
0_low_blowup,nonogram,nonogram_5,1.0667779632721202,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.152517,0.258914,39,17,0,2014,17,9.058823529411764,4.470588235294118,0,19.219599955249578,860,31.260599949746393,599,4.6812999789835885,860,35.6257000239566,639
0_low_blowup,nonogram,nonogram_5,1.0667779632721202,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1585028,0.271057,39,17,0,2014,17,9.058823529411764,4.470588235294118,0,19.219599955249578,860,31.260599949746393,599,4.6812999789835885,860,35.6257000239566,639
0_low_blowup,nonogram,nonogram_5,1.0667779632721202,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.3837641,0.30439,635,416,0,416422,416,57.10576923076923,8.146634615384615,0,19.219599955249578,860,31.260599949746393,599,4.6812999789835885,860,35.6257000239566,639
0_low_blowup,nonogram,nonogram_52,1.084985835694051,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0003658,0.237739,1,0,0,241,0,0,0,0,9.833400006755255,510,12.051200013956986,353,2.4076999980024993,510,14.920300018275157,383
0_low_blowup,nonogram,nonogram_52,1.084985835694051,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.000386,0.236327,1,0,0,241,0,0,0,0,9.833400006755255,510,12.051200013956986,353,2.4076999980024993,510,14.920300018275157,383
0_low_blowup,nonogram,nonogram_52,1.084985835694051,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0032185,0.266336,9,4,0,9667,4,7.25,2.25,0,9.833400006755255,510,12.051200013956986,353,2.4076999980024993,510,14.920300018275157,383
0_low_blowup,nonogram,nonogram_53,1.099337748344371,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.903827,0.2552,416,323,0,19839,323,18.92569659442724,7.086687306501548,0,9.187699964968488,454,10.457999960635789,302,2.176599984522909,454,12.541999996756203,332
0_low_blowup,nonogram,nonogram_53,1.099337748344371,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.9279,0.232475,416,323,0,19830,323,18.92569659442724,7.086687306501548,0,9.187699964968488,454,10.457999960635789,302,2.176599984522909,454,12.541999996756203,332
0_low_blowup,nonogram,nonogram_53,1.099337748344371,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.4658219,0.262933,942,709,0,520771,709,44.65444287729196,8.023977433004232,0,9.187699964968488,454,10.457999960635789,302,2.176599984522909,454,12.541999996756203,332
0_low_blowup,nonogram,nonogram_55,1.0642054574638844,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0008545,0.236943,1,0,0,347,0,0,0,0,16.726600006222725,884,27.634900019620545,623,4.057899990584701,884,31.533299988950603,663
0_low_blowup,nonogram,nonogram_55,1.0642054574638844,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.0008615,0.243956,1,0,0,347,0,0,0,0,16.726600006222725,884,27.634900019620545,623,4.057899990584701,884,31.533299988950603,663
0_low_blowup,nonogram,nonogram_55,1.0642054574638844,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.0434062,0.299724,99,64,0,84267,64,18.15625,3.078125,0,16.726600006222725,884,27.634900019620545,623,4.057899990584701,884,31.533299988950603,663
0_low_blowup,nonogram,nonogram_66,1.1829268292682926,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.4e-05,0.237682,0,0,0,69,0,0,0,0,2.488900034222752,127,1.4257999719120562,82,0.6109000241849571,127,2.1972999966237694,97
0_low_blowup,nonogram,nonogram_66,1.1829268292682926,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,1.15e-05,0.235101,0,0,0,69,0,0,0,0,2.488900034222752,127,1.4257999719120562,82,0.6109000241849571,127,2.1972999966237694,97
0_low_blowup,nonogram,nonogram_66,1.1829268292682926,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.52e-05,0.221009,0,0,0,1338,0,0,0,0,2.488900034222752,127,1.4257999719120562,82,0.6109000241849571,127,2.1972999966237694,97
0_low_blowup,nonogram,nonogram_68,1.0624133148404993,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1227619,0.269485,42,13,0,1321,13,11.46153846153846,5.153846153846154,0,18.628699966939166,1021,31.855699911830015,721,4.518700035987422,1021,38.793299958342686,766
0_low_blowup,nonogram,nonogram_68,1.0624133148404993,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.1272675,0.242613,42,13,0,1321,13,11.46153846153846,5.153846153846154,0,18.628699966939166,1021,31.855699911830015,721,4.518700035987422,1021,38.793299958342686,766
