bin,problem_type,instance,blowup,config,solver_id,status,exit_code,objective,proven_optimal,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_26,1.060483870967742,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.2914847,0.422747,588,316,0,336004,316,30.35443037974683,5.791139240506329,0,64.371000014944,1051,101.73470003064722,744,27.31909989961423,1051,123.88360002660193,789
0_low_blowup,nonogram,nonogram_29,1.0675675675675675,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.124028,0.359424,29,17,0,1354,17,4.470588235294118,3.294117647058823,0,51.52200008160435,832,76.51199988322333,592,15.304199856473133,832,91.34920008364134,632
0_low_blowup,nonogram,nonogram_29,1.0675675675675675,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.1428396,0.310677,29,17,0,1355,17,4.470588235294118,3.294117647058823,0,51.52200008160435,832,76.51199988322333,592,15.304199856473133,832,91.34920008364134,632
0_low_blowup,nonogram,nonogram_29,1.0675675675675675,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.6673991,0.476075,693,557,0,524153,557,33.5673249551167,6.299820466786356,0,51.52200008160435,832,76.51199988322333,592,15.304199856473133,832,91.34920008364134,632
0_low_blowup,nonogram,nonogram_30,1.048888888888889,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,1.9932897,0.391921,185,129,0,11098,129,32.63565891472868,5.713178294573644,0,94.52630006126128,1567,210.65550000639632,1125,22.490000090328977,1567,262.7892000018619,1180
0_low_blowup,nonogram,nonogram_30,1.048888888888889,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,2.0921301,0.404275,185,129,0,11097,129,32.63565891472868,5.713178294573644,0,94.52630006126128,1567,210.65550000639632,1125,22.490000090328977,1567,262.7892000018619,1180
0_low_blowup,nonogram,nonogram_30,1.048888888888889,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,2.4752532,0.727873,1513,1151,0,1335104,1151,79.70373588184188,8.169417897480452,0,94.52630006126128,1567,210.65550000639632,1125,22.490000090328977,1567,262.7892000018619,1180
0_low_blowup,nonogram,nonogram_37,1.0588235294117647,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0074894,0.313376,3,0,0,509,0,0,0,0,54.05969996354543,1073,97.13219999684952,765,12.098100065486506,1073,117.63980003888719,810
0_low_blowup,nonogram,nonogram_37,1.0588235294117647,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0065312,0.382159,3,0,0,509,0,0,0,0,54.05969996354543,1073,97.13219999684952,765,12.098100065486506,1073,117.63980003888719,810
0_low_blowup,nonogram,nonogram_37,1.0588235294117647,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.0174123,0.467668,55,12,0,47989,12,4.666666666666667,1.916666666666667,0,54.05969996354543,1073,97.13219999684952,765,12.098100065486506,1073,117.63980003888719,810
0_low_blowup,nonogram,nonogram_39,1.0499092558983667,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,7.4421714,0.317291,610,467,0,28910,467,53.0406852248394,7.929336188436831,0,109.56600005738437,1545,292.7242000296246,1102,23.64810000290163,1545,253.8073999749031,1157
0_low_blowup,nonogram,nonogram_39,1.0499092558983667,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,8.6743146,0.404601,607,464,0,28861,464,53.02370689655172,7.915948275862069,0,109.56600005738437,1545,292.7242000296246,1102,23.64810000290163,1545,253.8073999749031,1157
0_low_blowup,nonogram,nonogram_39,1.0499092558983667,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,19.6341057,0.578476,4925,3932,0,5146341,3932,135.0811291963377,10.11088504577823,0,109.56600005738437,1545,292.7242000296246,1102,23.64810000290163,1545,253.8073999749031,1157
0_low_blowup,nonogram,nonogram_42,1.0442151805453206,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,1.4863449,0.431396,85,62,0,6544,62,25.29032258064516,5.532258064516129,0,75.26539999525994,1882,189.36030004988424,1357,17.48040009988472,1882,251.83729999116622,1417
0_low_blowup,nonogram,nonogram_42,1.0442151805453206,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,1.4514607,0.386607,85,62,0,6540,62,25.29032258064516,5.532258064516129,0,75.26539999525994,1882,189.36030004988424,1357,17.48040009988472,1882,251.83729999116622,1417
0_low_blowup,nonogram,nonogram_42,1.0442151805453206,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,12.6758032,0.736482,2324,1710,0,3191214,1710,244.3432748538012,15.97485380116959,0,75.26539999525994,1882,189.36030004988424,1357,17.48040009988472,1882,251.83729999116622,1417
0_low_blowup,nonogram,nonogram_43,1.0577663671373556,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0046505,0.458737,4,0,0,554,0,0,0,0,25.859100045636296,1085,48.45909992582165,779,6.228499842109159,1085,56.69520012452267,824
0_low_blowup,nonogram,nonogram_43,1.0577663671373556,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,0.0057147,0.399296,4,0,0,554,0,0,0,0,25.859100045636296,1085,48.45909992582165,779,6.228499842109159,1085,56.69520012452267,824
0_low_blowup,nonogram,nonogram_43,1.0577663671373556,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,,,0.0428577,0.704155,47,27,0,54083,27,36.44444444444444,4,0,25.859100045636296,1085,48.45909992582165,779,6.228499842109159,1085,56.69520012452267,824
0_low_blowup,nonogram,nonogram_44,1.0625,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,4.4889185,0.3995,398,355,0,25417,355,22.4056338028169,5.904225352112676,0,27.29300019564107,1025,49.990700208581984,720,6.619299994781613,1025,71.89299998572096,765
0_low_blowup,nonogram,nonogram_44,1.0625,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,,,4.6789551,0.376351,396,353,0,25277,353,22.31161473087819,5.909348441926346,0,27.29300019564107,1025,49.990700208581984,720,6.619299994781613,1025,71.89299998572096,765
