bin,problem_type,instance,blowup,config,solver_id,status,exit_code,solveTime,flatTime,nodes,failures,restarts,propagations,nogoods,AverageLearnedNogoodLength,AverageLbd,AverageBacktrackAmount,layered_multigraph_sync_ms,nfa_glushkov_ms,nfa_glushkov_states,nfa_rbisim_ms,nfa_rbisim_states,dfa_subset_ms,dfa_subset_states,dfa_min_ms,dfa_min_states
0_low_blowup,nonogram,nonogram_21,1.0543478260869565,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,11.6938333,0.70475,3867,3232,0,4385151,3232,65.13706683168317,8.913985148514852,0,,23.945299999695635,1284,48.262399998293404,920,6.2408999995113845,1284,67.65689999997448,970
0_low_blowup,nonogram,nonogram_29,1.0443131462333826,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.3390499,0.383425,182,121,0,10745,121,29.140495867768596,6.454545454545454,0,1097.9583,35.129299998970964,1890,91.87340000016775,1354,8.868800000527699,1890,122.77290000065477,1414
0_low_blowup,nonogram,nonogram_29,1.0443131462333826,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,2.6533257,0.348711,182,121,0,10732,121,29.140495867768596,6.454545454545454,0,1193.7284,35.129299998970964,1890,91.87340000016775,1354,8.868800000527699,1890,122.77290000065477,1414
0_low_blowup,nonogram,nonogram_29,1.0443131462333826,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,1.9066239999999999,0.718755,1407,771,0,1010956,771,81.87418936446174,8.298313878080416,0,,35.129299998970964,1890,91.87340000016775,1354,8.868800000527699,1890,122.77290000065477,1414
0_low_blowup,nonogram,nonogram_30,1.053475935828877,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.6007628,0.458734,76,56,0,3452,56,5.571428571428571,3.625,0,254.349,24.999800000841788,1308,51.59510000044065,935,5.998099999942497,1308,70.36269999957767,985
0_low_blowup,nonogram,nonogram_30,1.053475935828877,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.5282228,0.508891,76,56,0,3450,56,5.571428571428571,3.625,0,224.7449,24.999800000841788,1308,51.59510000044065,935,5.998099999942497,1308,70.36269999957767,985
0_low_blowup,nonogram,nonogram_30,1.053475935828877,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,0.4990674,0.601356,613,359,0,469875,359,39.286908077994426,5.537604456824512,0,,24.999800000841788,1308,51.59510000044065,935,5.998099999942497,1308,70.36269999957767,985
0_low_blowup,nonogram,nonogram_39,1.0436681222707425,nfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.7348172,0.410817,60,49,0,3856,49,15.857142857142858,4.408163265306122,0,371.3111,35.51360000005843,1896,92.00120000127754,1374,8.860300000151256,1896,127.88719999912246,1434
0_low_blowup,nonogram,nonogram_39,1.0436681222707425,dfa,nl.tudelft.algorithmics.pumpkin-regular,SATISFIED,0,0.7229081,0.388847,60,49,0,3855,49,15.857142857142858,4.408163265306122,0,361.748,35.51360000005843,1896,92.00120000127754,1374,8.860300000151256,1896,127.88719999912246,1434
0_low_blowup,nonogram,nonogram_39,1.0436681222707425,decomposition,nl.tudelft.algorithmics.pumpkin-decomposition,SATISFIED,0,9.0530099,0.617008,2792,1911,0,3115259,1911,154.19204604918892,11.593929879644165,0,,35.51360000005843,1896,92.00120000127754,1374,8.860300000151256,1896,127.88719999912246,1434
